2021,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
トラック,9005,9480,7631,8507,8893,9174,1098,8089,8726,7172,8194,8268
リンガ,9770,9784,7704,8462,1082,7805,9275,1014,1112,9846,9859,7530
ラバウル,8272,8999,7778,7777,9175,7666,7634,9183,9181,1020,8856,6890
ショートランド,7034,8412,7734,7919,8205,7589,6134,9356,8432,8145,8564,7148
ブイン,7303,9381,8000,7176,7896,7360,5887,9024,7733,7566,8410,6370
タウイタウイ,8746,9553,8302,9732,9722,8237,6945,8020,7840,8386,9046,6129
パラオ,7611,1012,7886,9469,1132,8297,6633,9075,8735,9312,8569,7589
ブルネイ,7678,8004,7382,9431,7837,7236,8120,8757,1025,7956,8273,8111
単冠湾,9521,8544,7220,9003,9452,7052,6499,8142,7530,9057,8791,7510
幌筵,7737,9999,6929,9087,9629,8108,8498,7926,9196,1016,9120,8444
宿毛湾,8001,9228,7045,7799,9385,8679,1037,7387,1152,9086,8957,9314
鹿屋,7646,8804,8038,9481,1077,8749,9165,7003,9585,9212,1004,7686
岩川,7876,8923,8486,9129,9343,8136,7390,9191,9712,9462,8376,8011
佐伯湾,8882,1126,6159,8858,9102,7020,7176,7594,9478,8429,8457,7046
柱島,1043,1095,1009,9818,1022,8448,9548,9949,1046,1024,9216,8343
2020,1群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,6078,6251,5317,6034,6600,5702,5108,5963,5919,6024,6236,5436
呉,6003,7015,5707,6175,7187,6006,5812,6408,7066,6659,7449,6060
佐世保,6242,6900,6091,6061,6602,5764,5542,6303,6091,6871,6340,5264
舞鶴,6288,6753,5561,6509,7057,5847,5305,6438,5831,6880,7208,5834
大湊,5844,6489,5117,6337,6651,5494,5139,6316,5963,6257,6652,5271
トラック,5888,6661,5595,5682,7076,6031,5749,6319,6521,6282,6316,5392
リンガ,6341,6381,5368,5729,7529,5829,5282,6419,5807,6556,6347,4983
ラバウル,6214,6271,5554,6081,6501,5973,5681,6361,6336,6615,6471,5378
ショートランド,6305,6578,5252,5831,6453,5666,5494,6446,5981,6362,6597,5289
