年份,刷新当月,刷新次月,刷新前月
2021,5783.2,5868.65,6035.549999999999
2020,5747.3,6025.325,6272.575000000001
2019,4913.162499999999,5553.425,5498.975
2018,4935.7625,5372.925,5288.912499999999
2017,4426.262500000001,4195.95,4090.0125000000003
2016,4043.9875,3680.9375,3454.35
所有年份,4974.945833333333,5116.202083333333,5106.729166666666
