年份,刷新当月,刷新次月,刷新前月
2021,3536.7,3564.35,3229.825
2020,3538.2625,3367.7,3488.3374999999996
2019,2611.4375,2641.1625000000004,2615.9
2018,2294.0,2394.4875,2520.2125
2017,2203.1,2064.875,2041.9625
2016,2012.4499999999998,1719.2625,1755.0625000000002
所有年份,2699.3250000000003,2625.30625,2608.5499999999997
