年份,刷新当月,刷新次月,刷新前月
2021,8145.4,8294.425,8254.25
2020,8149.15,8502.6375,8695.825
2019,7180.482894736842,7924.025000000001,8042.825000000001
2018,7383.3375,7885.1375,7549.8875
2017,6046.0,5832.875,5674.125
2016,5778.150000000001,5436.5375,5596.75
所有年份,7113.753399122807,7312.606250000001,7302.277083333334
