年份,刷新当月,刷新次月,刷新前月
2021,4154.4,4383.825000000001,4334.5
2020,4268.3125,4417.3625,4549.8375
2019,3437.3875,3714.4125000000004,3746.6625
2018,3259.75,3528.1500000000005,3602.7250000000004
2017,3063.3500000000004,2945.325,2864.3875
2016,2775.8875000000003,2484.6625,2434.6125
所有年份,3493.1812499999996,3578.9562499999997,3588.7875
