服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,6078,6251,5317,6034,6600,5702,5108,5963,5919,6024,6236,5436
呉,6003,7015,5707,6175,7187,6006,5812,6408,7066,6659,7449,6060
佐世保,6242,6900,6091,6061,6602,5764,5542,6303,6091,6871,6340,5264
舞鶴,6288,6753,5561,6509,7057,5847,5305,6438,5831,6880,7208,5834
大湊,5844,6489,5117,6337,6651,5494,5139,6316,5963,6257,6652,5271
トラック,5888,6661,5595,5682,7076,6031,5749,6319,6521,6282,6316,5392
リンガ,6341,6381,5368,5729,7529,5829,5282,6419,5807,6556,6347,4983
ラバウル,6214,6271,5554,6081,6501,5973,5681,6361,6336,6615,6471,5378
ショートランド,6305,6578,5252,5831,6453,5666,5494,6446,5981,6362,6597,5289
ブイン,5948,6055,5236,5599,6377,5678,5008,5795,5969,5911,6650,4919
タウイタウイ,5914,6491,5041,6534,6369,5912,4992,6295,5465,6154,6328,4774
パラオ,5691,6773,5564,6087,7070,6016,5134,5881,6266,7196,6645,5456
ブルネイ,5913,6434,5099,5767,6338,5432,5215,5931,6291,6171,6439,5003
単冠湾,6061,6562,5024,6352,6877,5815,4736,6332,5762,6032,6700,5449
幌筵,5650,6219,5462,5487,7187,6013,5231,5961,6452,6909,6763,5830
宿毛湾,5923,6394,5656,6299,6652,5572,5107,5858,5601,7159,6831,5786
鹿屋,5804,6708,5831,5672,7235,6101,5077,5625,5866,6265,5949,5643
岩川,6067,6533,5250,6240,7181,6178,5325,5916,6548,6693,6717,5769
佐伯湾,5917,6527,5387,6026,6563,5408,5133,6219,5630,6295,6169,5279
柱島,6910,7602,6678,7598,7804,7526,6690,6834,7386,7538,7358,6465
