服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,2389,null,2581,2192,null,null,2278,2110,2411,2698,2429,2702
呉,2297,null,2434,2192,null,null,2226,2064,2338,2450,2332,2535
佐世保,2202,null,2412,2058,null,null,2164,2249,2509,2594,2385,2763
舞鶴,2385,null,2302,2073,null,null,2180,1983,2249,2507,2400,2603
大湊,2310,null,2440,2195,null,null,2231,2068,2349,2513,2392,2721
トラック,2404,null,2543,2205,null,null,2293,2080,2500,2606,2422,2740
リンガ,2445,null,2678,2283,null,null,2436,2246,2537,2709,2529,2775
ラバウル,2678,null,2791,2305,null,null,2573,2266,2474,2671,2481,2889
ショートランド,2711,null,2936,2390,null,null,2591,2293,2657,2829,2604,3005
ブイン,2593,null,2734,2376,null,null,2479,2302,2617,2700,2439,3045
タウイタウイ,2745,null,2884,2354,null,null,2573,2484,2876,2879,2692,3072
パラオ,2825,null,2996,2552,null,null,2581,2393,2585,2893,2692,3177
ブルネイ,2874,null,3054,2532,null,null,2691,2522,2684,2915,2673,3103
単冠湾,2725,null,2982,2474,null,null,2589,2409,2754,2892,2677,3071
幌筵,2809,null,3023,2399,null,null,2554,2405,2734,2862,2627,3175
宿毛湾,2668,null,3008,2419,null,null,2524,2408,2864,2846,2551,3155
鹿屋,2697,null,2922,2489,null,null,2587,2392,2782,2941,2635,3063
岩川,2727,null,3031,2420,null,2599,2528,2307,2661,2728,2537,2929
佐伯湾,2620,null,3194,2452,null,null,2693,2580,3011,3136,2853,3251
柱島,2256,2160,2852,2236,2306,2823,2829,2631,3205,3293,2867,3483
