服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,7971,8874,7262,9829,7838,7436,7187,7451,7662,8902,8214,7740
呉,7123,9739,8311,9598,9692,9297,9890,7714,12472,7660,10163,8554
佐世保,7816,9275,8153,8949,8977,7722,6566,8641,7507,9555,8932,7352
舞鶴,8522,8608,7283,8616,8247,9368,6609,8062,7556,9168,9490,8032
大湊,8782,8766,7207,8984,8932,7551,8749,8999,7915,8691,8060,7698
トラック,9005,9480,7631,8507,8893,9174,10988,8089,8726,7172,8194,8268
リンガ,9770,9784,7704,8462,10829,7805,9275,10142,11128,9846,9859,7530
ラバウル,8272,8999,7778,7777,9175,7666,7634,9183,9181,10200,8856,6890
ショートランド,7034,8412,7734,7919,8205,7589,6134,9356,8432,8145,8564,7148
ブイン,7303,9381,8000,7176,7896,7360,5887,9024,7733,7566,8410,6370
タウイタウイ,8746,9553,8302,9732,9722,8237,6945,8020,7840,8386,9046,6129
パラオ,7611,10129,7886,9469,11327,8297,6633,9075,8735,9312,8569,7589
ブルネイ,7678,8004,7382,9431,7837,7236,8120,8757,10257,7956,8273,8111
単冠湾,9521,8544,7220,9003,9452,7052,6499,8142,7530,9057,8791,7510
幌筵,7737,9999,6929,9087,9629,8108,8498,7926,9196,10169,9120,8444
宿毛湾,8001,9228,7045,7799,9385,8679,10372,7387,11522,9086,8957,9314
鹿屋,7646,8804,8038,9481,10770,8749,9165,7003,9585,9212,10040,7686
岩川,7876,8923,8486,9129,9343,8136,7390,9191,9712,9462,8376,8011
佐伯湾,8882,11261,6159,8858,9102,7020,7176,7594,9478,8429,8457,7046
柱島,10439,10955,10094,9818,10227,8448,9548,9949,10466,10240,9216,8343
