服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,7920,8290,7569,7678,6826,null,null,null,null,null,null,null
呉,8924,8852,8674,7751,9184,null,null,null,null,null,null,null
佐世保,8600,7519,8246,7932,7532,null,null,null,null,null,null,null
舞鶴,9144,9184,8104,7791,7445,null,null,null,null,null,null,null
大湊,8024,7846,8118,8923,7564,null,null,null,null,null,null,null
トラック,8190,9597,11051,8533,9570,null,null,null,null,null,null,null
リンガ,8211,9411,9289,8236,7782,null,null,null,null,null,null,null
ラバウル,8216,8383,7080,8599,7267,null,null,null,null,null,null,null
ショートランド,8738,9658,7253,8340,7929,null,null,null,null,null,null,null
ブイン,10563,8187,7930,8898,8611,null,null,null,null,null,null,null
タウイタウイ,7470,8048,7188,6570,6702,null,null,null,null,null,null,null
パラオ,8174,8367,7307,7508,7490,null,null,null,null,null,null,null
ブルネイ,8423,9438,8624,7587,7961,null,null,null,null,null,null,null
単冠湾,7426,8083,8019,7405,8171,null,null,null,null,null,null,null
幌筵,9551,9099,7173,8390,8176,null,null,null,null,null,null,null
宿毛湾,7798,9673,8609,7112,7925,null,null,null,null,null,null,null
鹿屋,9960,8639,8248,7284,7911,null,null,null,null,null,null,null
岩川,8247,9702,8250,8569,7955,null,null,null,null,null,null,null
佐伯湾,9179,7239,6518,7390,6916,null,null,null,null,null,null,null
柱島,9648,8538,9658,8875,7500,null,null,null,null,null,null,null
