服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,2518,2215,2619,2834,2797,2975,2927,2657,2888,2812,2702,2803
呉,2424,2076,2489,2613,2713,2728,2818,2498,2738,2698,2584,2649
佐世保,2454,2204,2535,2733,2779,2842,2897,2610,2743,2845,2618,2766
舞鶴,2428,2157,2452,2635,2591,2716,2696,2502,2517,2640,2507,2501
大湊,2460,2152,2584,2773,2760,2961,2824,2561,2640,2728,2644,2835
トラック,2573,2252,2655,2722,2801,2894,2886,2616,2879,2888,2665,2935
リンガ,2674,2286,2740,2874,2989,2938,2918,2682,2796,2967,2739,2985
ラバウル,2738,2340,2893,2811,2978,3164,3155,2788,2925,3261,2867,3253
ショートランド,2799,2471,2996,2994,3112,3352,3124,2801,3084,3275,3004,3368
ブイン,2641,2309,2783,2880,2977,3113,3104,2789,3050,3100,2703,3137
タウイタウイ,2884,2420,2903,3069,3142,3279,3255,2936,3210,3234,3086,3277
パラオ,2885,2531,2967,3203,3184,3287,3244,3049,3254,3249,3949,3311
ブルネイ,2866,2546,2966,3079,3211,3221,3285,3007,3195,3282,3073,3343
単冠湾,2916,2464,2917,3060,3164,3203,3239,2911,3185,3194,2943,3230
幌筵,2953,2495,2933,3131,3319,3232,3245,2989,3230,3264,2998,3518
宿毛湾,2887,2398,2947,3065,3157,3195,3141,2857,3161,3203,2975,3305
鹿屋,2852,2511,2877,3141,3164,3422,3254,2909,3261,3267,2975,3397
岩川,2633,2339,3005,2905,3083,3168,3239,2817,3044,3104,2894,3125
佐伯湾,3175,2675,3269,3226,3514,3672,3613,3196,3306,3541,3139,3553
柱島,3514,2872,3676,3420,3890,4067,3806,3499,3888,3871,3449,4148
