服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,3598,null,3602,3291,null,null,3382,3224,3337,3921,3547,3788
呉,3395,null,3564,3111,null,null,3382,2796,3163,3444,3368,3559
佐世保,3428,null,3099,2946,null,null,3004,3139,3843,3429,3411,3948
舞鶴,4251,null,3533,3312,null,null,3248,3050,3609,3455,3328,3443
大湊,3837,null,3370,2878,null,null,3163,3069,3617,4031,3212,3991
トラック,3607,null,4061,2961,null,null,3234,2862,3536,3632,3224,4131
リンガ,4310,null,3621,3224,null,null,3281,2953,3918,3633,3308,3756
ラバウル,3703,null,3638,3253,null,null,3657,3178,3362,3611,3575,3889
ショートランド,4246,null,3908,4033,null,null,3630,3232,3744,3903,3695,4611
ブイン,3511,null,3641,3564,null,null,3746,3472,4306,3694,3411,4453
タウイタウイ,4322,null,3794,3236,null,null,4061,3405,4466,4238,3921,4154
パラオ,4363,null,4529,3601,null,null,4028,3301,3666,3882,3674,4152
ブルネイ,4183,null,4357,3566,null,null,4251,3297,4198,4308,3745,4290
単冠湾,4574,null,4099,3328,null,null,4098,3216,3937,4146,3933,4425
幌筵,4044,null,4346,3649,null,null,4385,3546,3818,4634,3508,4709
宿毛湾,4263,null,4838,3720,null,null,4250,3572,4142,4147,3378,4303
鹿屋,4056,null,3671,3494,null,null,3826,3195,4006,3804,3574,4006
岩川,4342,null,4525,3852,null,3674,4358,3208,3907,3969,3621,4136
佐伯湾,3672,null,4293,3876,null,null,4404,4053,4857,4442,4335,4908
柱島,3134,null,3944,3342,2906,4694,4152,3999,4600,4739,4091,4722
