服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,4862,6111,5598,4881,4757,4503,5512,6277,5180,5812,6749,4764
呉,5436,6705,5794,4990,5062,4844,5678,6409,5239,6849,6847,4744
佐世保,5460,6469,5734,5317,5608,4816,5461,5862,5026,6465,6613,5159
舞鶴,5142,6193,5833,5738,5153,4444,5304,6196,5286,6125,6506,5124
大湊,5087,6337,5676,5318,5237,4228,5573,5767,5283,6820,5704,4479
トラック,5541,5594,5272,5128,5254,4480,5199,6033,5098,7761,6840,4823
リンガ,5009,6653,5239,5098,5301,4145,5284,5669,4871,6179,6613,4980
ラバウル,5287,5705,5128,5035,5222,4442,5273,5436,4856,5959,5674,4716
ショートランド,5457,5827,5720,5248,7164,4566,4758,5612,4470,5729,6896,4491
ブイン,4655,5185,4999,5000,4610,3847,4785,5151,4713,5634,5346,4441
タウイタウイ,5396,6349,5469,5895,5240,4440,5591,5946,4976,6212,6205,4624
パラオ,4956,5798,4802,4875,4880,4509,4861,5966,5042,6141,6049,4884
ブルネイ,4755,5064,4865,5118,5323,4374,5262,5880,4694,5692,5707,4389
単冠湾,5351,5863,5353,5116,5229,4354,5425,5794,4813,6249,6228,4412
幌筵,4986,6589,5548,5772,5486,4194,5100,6130,4367,6764,6492,4430
宿毛湾,5398,6014,5252,4918,4886,4376,4954,6131,5117,6205,6168,5072
鹿屋,5101,5322,5223,5620,5277,4380,5229,5681,5063,5939,6574,4638
岩川,4539,5186,5062,4946,4934,4362,4790,5997,4442,6202,6142,4677
佐伯湾,5338,5159,4715,5042,4819,4231,5773,5747,5005,5839,6107,5253
柱島,7560,7295,7052,6897,6315,5748,6116,7171,6007,8013,7618,5788
