服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,1642,1554,1763,1569,1447,null,1629,1473,1661,1878,1738,1991
呉,1500,1461,1635,1483,1376,null,1481,1394,1513,1723,1660,1823
佐世保,1529,1426,1646,1440,1374,null,1496,1613,1736,1864,1775,1973
舞鶴,1554,1470,1633,1484,1375,null,1491,1399,1552,1709,1625,1789
大湊,1566,1507,1744,1467,1430,null,1592,1480,1666,1832,1697,1943
トラック,1600,1519,1797,1483,1457,null,1603,1473,1706,1813,1690,1936
リンガ,1659,1612,1911,1532,1478,null,1672,1566,1756,1910,1797,2002
ラバウル,1800,1712,2014,1569,1605,null,1784,1527,1762,1863,1773,2064
ショートランド,1844,1764,2033,1607,1609,null,1746,1656,1881,1993,1848,2134
ブイン,1762,1701,2018,1562,1612,null,1763,1630,1854,1898,1806,2169
タウイタウイ,1806,1767,2027,1602,1604,null,1747,1632,1885,1962,1839,2166
パラオ,1893,1765,2158,1691,1617,null,1832,1713,1882,2004,1903,2236
ブルネイ,1922,1868,2119,1700,1667,null,1850,1733,2008,2032,1867,2249
単冠湾,1863,1750,2058,1644,1633,null,1834,1663,1894,2012,1895,2246
幌筵,1881,1809,2132,1615,1672,null,1814,1699,1964,1995,1870,2282
宿毛湾,1854,1807,2131,1705,1639,null,1830,1751,1944,1999,1871,2293
鹿屋,1887,1857,2110,1673,1728,null,1923,1746,2020,2017,1905,2290
岩川,1852,1805,2154,1551,1596,null,1775,1628,1913,1966,1824,2163
佐伯湾,1790,1888,2268,1617,1847,null,1900,1815,2113,2073,1944,2411
柱島,1607,1594,1965,1548,1682,2082,2041,1902,2502,2169,2058,2668
