服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,4677,3947,4764,4993,4430,5117,6696,4829,5178,5226,5199,5932
呉,4413,3692,4287,5968,4497,5099,5363,4829,5012,6174,5312,5145
佐世保,3934,4685,4527,4525,4165,5088,4752,4297,5544,4769,4437,4898
舞鶴,5417,3810,4172,4894,5575,5224,6311,5132,5085,4955,4446,6280
大湊,4829,3736,4748,5379,4501,5448,6567,5144,5586,4977,4715,6718
トラック,4818,4617,5581,5532,6443,5918,5652,4828,7023,5824,5679,6595
リンガ,4895,4110,4731,7906,5291,6405,5461,5435,5571,5903,4786,6955
ラバウル,6273,4302,5760,5569,5435,6079,5735,5639,5262,5456,5541,5905
ショートランド,5456,4774,5481,5611,5943,5890,5806,6183,6188,6634,5196,7633
ブイン,5052,3755,5263,5499,5907,5605,5488,6600,6367,6000,5627,6107
タウイタウイ,8197,4808,6374,7534,6411,6583,6402,5781,7442,7246,6852,6576
パラオ,6012,5101,5415,5470,6313,7085,7128,5841,6257,7002,5566,6651
ブルネイ,6829,5876,6126,5274,5724,5858,6156,6075,5870,6636,10134,6067
単冠湾,5211,4965,4910,4812,5884,5716,6115,5039,5806,6239,5555,7473
幌筵,5489,4568,5814,5444,5633,6317,5689,5536,5830,6134,5769,6085
宿毛湾,5662,4393,5502,5652,7000,5853,6183,5347,5646,5257,5151,6500
鹿屋,6079,4480,4934,6289,6560,7101,7514,5640,6230,6397,5718,7406
岩川,5233,4947,5292,4902,5021,6225,5945,5440,6008,6098,5342,5319
佐伯湾,6813,5757,5827,5849,7857,7767,8179,7000,7568,6651,6539,7653
柱島,7308,5751,7053,6649,10001,9302,7476,6896,8212,11086,8100,9856
