服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,7236,8412,8782,7208,7250,5881,6852,9019,6105,9200,9538,7879
呉,6708,10082,8413,8164,7824,6058,7510,9018,7308,8409,9121,7802
佐世保,7937,8239,7647,6783,7287,5883,7227,7447,7324,8282,7983,7702
舞鶴,7691,9298,8686,9167,7109,6704,6100,8080,8081,7648,9720,6302
大湊,6952,11815,9456,6885,7936,6248,7492,8414,6355,9380,8324,7126
トラック,7503,8587,7565,6860,6961,6418,8206,8637,7571,10705,8020,8270
リンガ,6724,8441,7879,7314,7544,6161,6494,7658,6823,7723,10177,7342
ラバウル,7108,9120,8957,8570,10685,6029,7445,7581,6360,9117,10000,7811
ショートランド,7645,9217,8793,9300,10002,6669,6509,7873,6787,10251,11517,5716
ブイン,7284,8164,6741,6733,6518,5753,6851,7253,null,8056,7898,6330
タウイタウイ,7435,8485,9272,8525,7947,6822,7529,7832,5880,9212,8768,6043
パラオ,6837,7388,7775,7198,8939,6101,7218,9181,6084,9292,8232,8141
ブルネイ,7737,8651,6922,7088,6552,5229,6001,8290,7347,7137,7800,5802
単冠湾,7133,8610,8142,8336,7879,6666,7617,8635,7306,8972,9457,6762
幌筵,6619,9187,8751,7456,7273,7447,8550,8542,7908,8136,8506,8336
宿毛湾,6964,9478,7590,6449,7708,5536,9380,7720,7494,8224,8751,7101
鹿屋,6564,9812,7433,9557,8700,6113,6630,7477,7261,8472,12258,6559
岩川,7052,7315,5977,7130,7162,6128,6106,7596,6005,7715,8704,7428
佐伯湾,7948,6605,6124,7946,5966,7157,7470,8396,7636,9723,8931,8521
柱島,11152,9761,9290,9715,8807,7674,8758,10007,8802,11021,9659,9081
