服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,5034,null,4391,4707,null,null,4649,4494,4584,6041,4882,5142
呉,4673,null,4481,4319,null,null,5506,4013,4740,5602,4720,4698
佐世保,5345,null,4647,4529,null,null,4030,4783,4878,4546,4212,6091
舞鶴,6101,null,5135,5172,null,null,4757,4640,4421,6128,4972,5155
大湊,5558,null,5893,5213,null,null,5194,4390,5603,5546,5694,5943
トラック,5795,null,5216,4451,null,null,4747,4385,4568,4774,4478,6242
リンガ,5358,null,5668,5605,null,null,4821,4505,5870,6087,4907,6180
ラバウル,5997,null,6250,4928,null,null,5746,4290,4625,5872,4416,5920
ショートランド,7043,null,6105,5650,null,null,5615,5283,5000,5451,4769,5943
ブイン,5403,null,5772,4929,null,null,5337,5118,5401,6326,5094,6151
タウイタウイ,6995,null,6088,5555,null,null,5600,5497,5840,6100,5246,6903
パラオ,5866,null,6145,5773,null,null,5738,5464,5505,5108,4832,6194
ブルネイ,6105,null,7500,6435,null,null,6631,6914,5576,5835,4710,6668
単冠湾,5830,null,6107,5455,null,null,5427,5121,5034,5728,5380,6333
幌筵,5563,null,6362,5598,null,null,6034,4454,5909,5437,5594,7250
宿毛湾,6061,null,6204,6673,null,null,6065,6409,5577,5656,5717,7037
鹿屋,6352,null,6164,4628,null,null,5161,4723,5315,5255,4955,5554
岩川,6001,null,6519,6221,null,null,6482,5700,5815,6226,6023,5676
佐伯湾,6438,null,7358,5642,null,null,6464,7203,6254,6278,5623,6663
柱島,4089,null,5171,5468,null,null,5971,4758,7272,6455,6166,5983
